ASIN,ASIN_body,commodity_item,brandName,price,comments,star_level,ranking,DATE
B07KSV7WGY,Sougayilang Fishing Rod Combos with Telescopic Fishing Pole Spinning Reels Fishing Carrier Bag for Travel Saltwater Freshwater Fishing,"['B079GJ6K2R', 'B07FCFCBKN', 'B07KJR34C9', 'B07KSV7WGY']",Sougayilang,$18.99-$64.99,180 ratings,4.1 out of 5,"['#10,787 in Sports & Outdoors (', ')']","['B07FZ13RMQ', '#10,787 in Sports & Outdoors (', ')']"
B07B2H3GMM,"KastKing Speed Demon Pro Tournament Series Bass Fishing Rods, Elite Carbon High Modulus 1 Pc Blanks, Fuji Guides & Reel Seats, Winn Grip, 15 Technique Specific Lengths & Actions-Spinning & Casting",null,KastKing,null,292 ratings,4.6 out of 5,"['#10,520 in Sports & Outdoors (', ')']","['3.1 pounds (', ')', 'B07B2H3GMM', '#10,520 in Sports & Outdoors (', ')']"
B07LCN57HT,UNISTRENGH Fishing Rod Case Portable Folding Fishing Rod Case Fishing Pole Reel Storage Bag Fishing Gears Organizer 80cm/90cm/100cm/120cm,"['B07LCM45ZH', 'B07LCLD4SF']",Unistrengh,$39.99-$79.99,3 ratings,5 out of 5,"['#168,522 in Sports & Outdoors (', ')']","['B07LCN6WDW', '#168,522 in Sports & Outdoors (', ')']"
B07XXZ627H,Lixada Fishing Rod Case Three Layers Oxford Fishing Bag Portable Folding Fishing Rod Reel Tackle Tool Carry Case Carrier Travel Bag(130cm/150cm),"['B07XXXHY85', 'B07XY1L6RR']",Lixada,$28.99-$29.99,13 ratings,5 out of 5,"['#47,999 in Sports & Outdoors (', ')']","['B07XXYY5QF', '#47,999 in Sports & Outdoors (', ')']"
B07WMPFKNK,"Hamkaw Fishing Rod Carrier, 3-in-1 Fishing Tackle Bag with Detachable Shoulder Strap 1000D Polyester Fish Pole Carrier Backpack Travel Fishing Rod Duffle Organizer Carry Case Tube Reel Handbag",null,Hamkaw,null,null,null,"['#703,158 in Sports & Outdoors (', ')']","['9.1 x 10.2 x 2 inches ; 1.43 pounds', '1.4 pounds (', ')', 'B07WMPFKNK', '#703,158 in Sports & Outdoors (', ')']"
B00KQJBPZO,BW Sports Spinning Rod & Reel Case for (10.5 ft.) 2-Piece Spinning Rods or Baitcasting Rods - RC-5105,null,BW Sports,null,10 ratings,3.8 out of 5,"['#387,877 in Sports & Outdoors (', ')']","['3.5 pounds (', ')', 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'This item is not eligible for international shipping.', 'B00KQJBPZO', 'RC-5105', '#387,877 in Sports & Outdoors (', ')']"
B07MJY19QP,"Packable Fly Fishing Rod & Reel Combo Travel Fly Rod Combo | Combos & Individual Rods Available | Fly Fishing Kit for Travel, Backpacking, Camping, or Hiking | Back Up Fly Rods","['B07MGBZZZ8', 'B072N3BXJH', 'B07MJY19QP', 'B072N3D65Y', 'B07MGC1F3K']",Pescador on the Fly,null,6 ratings,5 out of 5,"['#376,218 in Sports & Outdoors (', ')']","['1 pounds (', ')', 'B07MJY19QP', '#376,218 in Sports & Outdoors (', ')']"
B07WHGWYNC,Lixada Fishing Rod Case Fishing Tackle Bag Fishing Pole Storage Bag&9' Fly Fishing Rod and Reel Combo with 20 Flies Complete Starter Package Fly Fishing Kit,"['B07JLQ4W83', 'B07WFCB8XQ', 'B07WHH1QYB', 'B07WHGWYNC', 'B07STDWJXF', 'B07STB4WNC']",Lixada,$59.99,23 ratings,4.1 out of 5,"['#49,685 in Sports & Outdoors (', ')']","['1.6 pounds (', ')', 'B07WHGWYNC', '#49,685 in Sports & Outdoors (', ')']"
B00JJ6O0N4,Temple Fork Outfitters TFO Triangular Nylon Carrying Case - 4PC Fly Fishing Rod,null,Temple Fork Outfitters,$29.95-$49.95,40 ratings,4.4 out of 5,"['#116,671 in Sports & Outdoors (', ')']","['0.16 ounces', '0.2 ounces (', ')', 'B00JJ6NSQO', '#116,671 in Sports & Outdoors (', ')']"
B07NLJGVT2,Portarod Inshore Fishing Rod Holder/Rod Rack for Truck Bed,null,Portarod,$119.99-$199.99,4 ratings,5 out of 5,"['#151,788 in Sports & Outdoors (', ')']","['9 pounds', '9 pounds (', ')', 'B07XKC83GX', '#151,788 in Sports & Outdoors (', ')']"
